28.90, 0.374844
29.00, 0.372780
29.10, 0.370748
29.20, 0.368747
29.30, 0.366775
29.40, 0.364834
29.50, 0.362921
29.60, 0.361037
29.70, 0.359182
29.80, 0.357354
29.90, 0.355554
30.00, 0.353781
30.10, 0.352033
30.20, 0.350305
30.30, 0.348599
30.40, 0.346913
30.50, 0.345248
30.60, 0.343603
30.70, 0.341977
30.80, 0.340371
30.90, 0.338784
31.00, 0.337216
31.10, 0.335667
31.20, 0.334136
31.30, 0.332623
31.40, 0.331128
31.50, 0.329650
31.60, 0.328189
31.70, 0.326746
31.80, 0.325319
31.90, 0.323909
32.00, 0.322515
32.10, 0.321137
32.20, 0.319775
32.30, 0.318429
32.40, 0.317098
32.50, 0.315782
32.60, 0.314481
32.70, 0.313195
32.80, 0.311923
32.90, 0.310665
33.00, 0.309422
33.10, 0.308193
33.20, 0.306977
33.30, 0.305775
33.40, 0.304586
33.50, 0.303411
33.60, 0.302248
33.70, 0.301098
33.80, 0.299961
33.90, 0.298837
34.00, 0.297724
34.10, 0.296624
34.20, 0.295536
34.30, 0.294459
34.40, 0.293395
34.50, 0.292341
34.60, 0.291299
34.70, 0.290269
34.80, 0.289249
34.90, 0.288240
35.00, 0.287242
35.10, 0.286255
35.20, 0.285278
35.30, 0.284312
35.40, 0.283355
35.50, 0.282409
35.60, 0.281473
35.70, 0.280547
35.80, 0.279630
35.90, 0.278723
36.00, 0.277825
36.10, 0.276937
36.20, 0.276058
36.30, 0.275188
36.40, 0.274327
36.50, 0.273475
36.60, 0.272632
36.70, 0.271797
36.80, 0.270971
36.90, 0.270153
37.00, 0.269344
37.10, 0.268543
37.20, 0.267750
37.30, 0.266966
37.40, 0.266189
37.50, 0.265420
37.60, 0.264659
37.70, 0.263905
37.80, 0.263159
37.90, 0.262421
38.00, 0.261690
38.10, 0.260966
38.20, 0.260250
38.30, 0.259540
38.40, 0.258838
38.50, 0.258143
38.60, 0.257454
38.70, 0.256773
38.80, 0.256098
38.90, 0.255430
39.00, 0.254768
39.10, 0.254113
39.20, 0.253464
39.30, 0.252822
39.40, 0.252186
39.50, 0.251556
39.60, 0.250932
39.70, 0.250315
39.80, 0.249703
39.90, 0.249098
40.00, 0.248498
40.10, 0.247904
40.20, 0.247315
40.30, 0.246732
40.40, 0.246154
40.50, 0.245582
40.60, 0.245014
40.70, 0.244452
40.80, 0.243895
40.90, 0.243343
41.00, 0.242796
41.10, 0.242253
41.20, 0.241716
41.30, 0.241183
41.40, 0.240655
