wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
1.778	0.582	1.177	1.92	0.919	115.72	1.411	0.352	0.1	0.313	0.341
1.779	0.582	1.178	1.921	0.92	115.785	1.412	0.353	0.1	0.313	0.341
1.78	0.582	1.179	1.922	0.921	115.85	1.413	0.353	0.1	0.313	0.341
1.781	0.582	1.18	1.923	0.921	115.915	1.414	0.353	0.1	0.313	0.341
1.782	0.583	1.181	1.924	0.922	115.98	1.415	0.353	0.1	0.314	0.341
1.783	0.583	1.182	1.926	0.922	116.045	1.415	0.353	0.1	0.314	0.342
1.784	0.583	1.183	1.927	0.923	116.11	1.416	0.353	0.1	0.314	0.342
1.785	0.584	1.184	1.928	0.924	116.175	1.417	0.353	0.1	0.314	0.342
1.786	0.574	1.185	1.929	0.924	116.24	1.418	0.353	0.1	0.315	0.342
1.787	0.575	1.186	1.931	0.925	116.305	1.419	0.353	0.1	0.315	0.342
1.788	0.575	1.187	1.932	0.926	116.37	1.419	0.353	0.1	0.315	0.343
1.789	0.575	1.188	1.933	0.926	116.435	1.42	0.353	0.101	0.315	0.343
1.79	0.575	1.189	1.934	0.927	116.5	1.421	0.354	0.101	0.315	0.343
1.791	0.576	1.19	1.935	0.928	116.565	1.422	0.354	0.101	0.316	0.343
1.792	0.576	1.192	1.937	0.928	116.63	1.423	0.354	0.101	0.316	0.343
1.793	0.576	1.193	1.938	0.929	116.696	1.423	0.354	0.101	0.316	0.344
1.794	0.576	1.194	1.939	0.93	116.761	1.424	0.354	0.101	0.316	0.344
1.795	0.577	1.195	1.94	0.93	116.826	1.425	0.354	0.101	0.317	0.344
1.796	0.577	1.196	1.942	0.931	116.891	1.426	0.354	0.101	0.317	0.344
1.797	0.577	1.197	1.943	0.932	116.956	1.427	0.354	0.101	0.317	0.344
1.798	0.577	1.198	1.944	0.932	117.021	1.427	0.354	0.101	0.317	0.344
1.799	0.578	1.199	1.945	0.933	117.086	1.428	0.354	0.101	0.317	0.345
1.8	0.578	1.2	1.947	0.934	117.151	1.429	0.355	0.101	0.318	0.345
1.801	0.578	1.201	1.948	0.934	117.216	1.43	0.355	0.101	0.318	0.345
1.802	0.578	1.202	1.949	0.935	117.281	1.431	0.355	0.102	0.318	0.345
1.803	0.579	1.203	1.95	0.935	117.346	1.431	0.355	0.102	0.318	0.345
1.804	0.579	1.204	1.951	0.936	117.411	1.432	0.355	0.102	0.319	0.346
1.805	0.579	1.205	1.953	0.937	117.476	1.433	0.355	0.102	0.319	0.346
1.806	0.579	1.206	1.954	0.909	117.541	1.434	0.355	0.102	0.319	0.346
1.807	0.58	1.207	1.955	0.909	117.606	1.435	0.355	0.102	0.319	0.346
1.808	0.58	1.208	1.956	0.91	117.671	1.436	0.355	0.102	0.32	0.346
1.809	0.58	1.209	1.958	0.911	117.736	1.436	0.355	0.102	0.32	0.347
1.81	0.58	1.21	1.959	0.911	117.801	1.437	0.355	0.102	0.32	0.347
1.811	0.581	1.211	1.96	0.912	117.866	1.438	0.356	0.092	0.32	0.347
1.812	0.581	1.212	1.961	0.913	117.931	1.439	0.356	0.092	0.303	0.347
1.813	0.581	1.021	1.963	0.913	117.996	1.44	0.356	0.092	0.303	0.347
1.814	0.582	1.022	1.964	0.914	118.061	1.44	0.356	0.092	0.303	0.339
1.815	0.582	1.023	1.965	0.914	118.126	1.441	0.356	0.093	0.304	0.339
1.816	0.582	1.024	1.966	0.915	118.191	1.442	0.356	0.093	0.304	0.339
1.817	0.582	1.025	1.968	0.916	118.256	1.443	0.356	0.093	0.304	0.34
1.818	0.583	1.025	1.969	0.916	118.321	1.444	0.356	0.093	0.304	0.34
1.819	0.583	1.026	1.97	0.917	118.386	1.444	0.356	0.093	0.304	0.34
1.82	0.583	1.027	1.971	0.918	118.451	1.445	0.356	0.093	0.305	0.34
1.821	0.583	1.028	1.973	0.918	118.516	1.446	0.357	0.093	0.305	0.34
1.822	0.584	1.029	1.974	0.919	118.581	1.447	0.357	0.093	0.305	0.34
1.823	0.584	1.03	1.975	0.92	118.646	1.448	0.357	0.093	0.305	0.341
1.824	0.584	1.03	1.976	0.92	118.711	1.449	0.357	0.093	0.305	0.341
1.825	0.584	1.031	1.978	0.921	118.776	1.449	0.357	0.093	0.306	0.341
1.826	0.585	1.032	1.979	0.921	118.841	1.45	0.357	0.093	0.306	0.341
1.827	0.585	1.033	1.98	0.922	118.906	1.441	0.357	0.093	0.306	0.341
1.828	0.585	1.034	1.981	0.923	118.971	1.442	0.357	0.093	0.306	0.342
1.829	0.585	1.035	1.983	0.923	119.036	1.442	0.357	0.093	0.307	0.342
1.83	0.586	1.035	1.984	0.924	119.101	1.443	0.357	0.094	0.307	0.342
1.831	0.586	1.036	1.985	0.925	119.166	1.444	0.358	0.094	0.307	0.342
1.832	0.586	1.037	1.986	0.925	119.232	1.445	0.358	0.094	0.307	0.342
1.833	0.586	1.038	1.988	0.926	119.297	1.446	0.358	0.094	0.307	0.342
1.834	0.581	1.039	1.989	0.927	119.362	1.446	0.358	0.094	0.308	0.343
1.835	0.582	1.04	1.99	0.927	119.427	1.447	0.358	0.094	0.308	0.343
1.836	0.582	1.04	1.992	0.928	119.492	1.448	0.358	0.094	0.308	0.343
1.837	0.582	1.041	1.993	0.928	119.557	1.449	0.358	0.094	0.308	0.343
1.838	0.582	1.042	1.994	0.929	119.622	1.45	0.358	0.094	0.308	0.343
1.839	0.583	1.043	1.995	0.93	119.687	1.45	0.358	0.094	0.309	0.344
1.84	0.583	1.044	1.997	0.93	119.752	1.451	0.359	0.094	0.309	0.344
1.841	0.583	1.045	1.998	0.931	119.817	1.452	0.359	0.094	0.309	0.344
1.842	0.583	1.046	1.999	0.932	119.882	1.453	0.359	0.094	0.309	0.344
1.843	0.584	1.046	2	0.932	119.934	1.454	0.359	0.094	0.309	0.344
1.844	0.584	1.047	2.002	0.933	119.999	1.454	0.359	0.094	0.31	0.344
1.845	0.584	1.048	2.003	0.934	120.064	1.455	0.359	0.095	0.31	0.345
1.846	0.584	1.049	2.004	0.934	120.129	1.456	0.359	0.095	0.31	0.345
1.847	0.585	1.05	2.005	0.935	120.194	1.457	0.359	0.095	0.31	0.345
1.848	0.585	1.051	2.007	0.935	120.259	1.458	0.359	0.095	0.311	0.345
1.849	0.585	1.051	2.008	0.936	120.324	1.458	0.359	0.095	0.311	0.345
1.85	0.585	1.052	2.009	0.937	120.389	1.459	0.36	0.095	0.311	0.346
1.851	0.586	1.053	2.011	0.937	120.454	1.46	0.36	0.095	0.311	0.346
1.852	0.586	1.054	2.012	0.938	120.519	1.461	0.36	0.095	0.311	0.346
1.853	0.586	1.055	2.013	0.939	120.584	1.462	0.36	0.095	0.312	0.346
1.854	0.586	1.056	2.014	0.939	120.649	1.462	0.36	0.095	0.312	0.346
1.855	0.587	1.057	2.016	0.94	120.714	1.463	0.36	0.095	0.312	0.347
1.856	0.587	1.057	2.017	0.941	120.779	1.464	0.36	0.095	0.312	0.324
1.857	0.587	1.058	2.018	0.941	120.844	1.465	0.36	0.095	0.312	0.324
1.858	0.587	1.059	2.02	0.942	120.909	1.466	0.36	0.084	0.313	0.324
1.859	0.588	1.06	2.021	0.943	120.974	1.467	0.361	0.085	0.313	0.325
1.86	0.588	1.061	2.022	0.943	121.039	1.467	0.361	0.085	0.313	0.325
1.861	0.588	1.062	2.023	0.944	121.104	1.468	0.361	0.085	0.313	0.325
1.862	0.589	1.063	2.025	0.945	121.169	1.469	0.361	0.085	0.314	0.325
1.863	0.589	1.063	2.026	0.945	121.234	1.47	0.361	0.085	0.314	0.325
1.864	0.589	1.064	2.027	0.946	121.299	1.471	0.361	0.085	0.314	0.325
1.865	0.589	1.065	2.029	0.946	121.364	1.471	0.361	0.085	0.314	0.326
1.866	0.59	1.066	2.03	0.947	121.429	1.472	0.361	0.085	0.314	0.326
1.867	0.59	1.067	2.031	0.948	121.494	1.473	0.361	0.085	0.315	0.326
1.868	0.59	1.068	2.032	0.948	121.559	1.474	0.361	0.085	0.315	0.326
1.869	0.59	1.069	2.034	0.949	121.624	1.475	0.362	0.085	0.315	0.326
1.87	0.591	1.07	2.035	0.95	121.689	1.475	0.362	0.085	0.315	0.326
1.871	0.591	1.07	2.036	0.95	121.754	1.476	0.362	0.085	0.316	0.327
1.872	0.591	1.071	2.038	0.951	121.819	1.477	0.362	0.085	0.316	0.327
1.873	0.591	1.072	2.039	0.952	121.883	1.478	0.362	0.085	0.316	0.327
1.874	0.592	1.073	2.04	0.952	121.948	1.479	0.362	0.085	0.316	0.327
1.875	0.592	1.074	2.041	0.953	122.013	1.479	0.362	0.085	0.316	0.327
1.876	0.592	1.075	2.043	0.954	122.078	1.48	0.362	0.085	0.317	0.327
1.877	0.592	1.076	2.044	0.954	122.143	1.481	0.362	0.086	0.317	0.328
1.878	0.593	1.076	2.045	0.955	122.208	1.482	0.363	0.086	0.317	0.328
1.879	0.593	1.077	2.047	0.956	122.273	1.483	0.363	0.086	0.317	0.328
1.88	0.593	1.078	2.048	0.956	122.338	1.483	0.363	0.086	0.318	0.328
1.881	0.593	1.079	2.049	0.957	122.403	1.484	0.363	0.086	0.318	0.328
1.882	0.594	1.08	2.051	0.958	122.468	1.485	0.363	0.086	0.318	0.328
1.883	0.594	1.081	2.052	0.958	122.533	1.486	0.363	0.086	0.318	0.329
1.884	0.594	1.082	2.053	0.959	122.598	1.487	0.363	0.086	0.318	0.329
1.885	0.594	1.083	2.054	0.96	122.663	1.487	0.363	0.086	0.319	0.329
1.886	0.595	1.083	2.056	0.96	122.728	1.488	0.363	0.086	0.319	0.329
1.887	0.595	1.084	2.057	0.961	122.793	1.489	0.364	0.086	0.319	0.329
1.888	0.595	1.085	2.058	0.962	122.858	1.49	0.364	0.086	0.319	0.329
1.889	0.595	1.086	2.06	0.962	122.923	1.491	0.364	0.086	0.319	0.33
1.89	0.596	1.087	2.061	0.963	122.988	1.492	0.364	0.086	0.32	0.33
1.891	0.596	1.088	2.062	0.963	123.053	1.492	0.364	0.086	0.32	0.33
1.892	0.596	1.089	2.064	0.964	123.118	1.493	0.364	0.086	0.32	0.33
1.893	0.596	1.09	2.065	0.965	123.183	1.494	0.364	0.086	0.32	0.33
1.894	0.597	1.09	2.066	0.965	123.248	1.495	0.364	0.087	0.321	0.33
1.895	0.597	1.091	2.068	0.966	123.313	1.496	0.365	0.087	0.321	0.331
1.896	0.597	1.092	2.069	0.967	123.378	1.496	0.365	0.087	0.321	0.331
1.897	0.597	1.093	2.07	0.967	123.443	1.497	0.365	0.087	0.321	0.331
1.898	0.598	1.094	2.071	0.968	123.508	1.498	0.365	0.087	0.321	0.331
1.899	0.598	1.095	2.073	0.969	123.573	1.499	0.365	0.087	0.322	0.331
1.9	0.598	1.096	2.074	0.969	123.638	1.5	0.365	0.087	0.322	0.331
1.901	0.598	1.097	2.075	0.97	123.696	1.5	0.365	0.087	0.322	0.332
1.902	0.599	1.097	2.077	0.971	123.761	1.501	0.365	0.087	0.322	0.332
1.903	0.599	1.098	2.078	0.971	123.826	1.502	0.365	0.087	0.323	0.332
1.904	0.599	1.099	2.079	0.972	123.891	1.503	0.366	0.087	0.323	0.332
1.905	0.599	1.1	2.081	0.973	123.956	1.504	0.366	0.087	0.323	0.332
1.906	0.6	1.101	2.082	0.973	124.021	1.504	0.35	0.087	0.323	0.332
1.907	0.6	1.102	2.083	0.974	124.086	1.505	0.35	0.087	0.324	0.333
1.908	0.6	1.103	2.085	0.975	124.151	1.506	0.35	0.087	0.324	0.333
1.909	0.6	1.104	2.086	0.975	124.216	1.507	0.35	0.087	0.324	0.333
1.91	0.601	1.104	2.087	0.976	124.281	1.508	0.35	0.087	0.324	0.333
1.911	0.601	1.105	2.089	0.977	124.346	1.509	0.35	0.088	0.324	0.333
1.912	0.601	1.106	2.09	0.977	124.411	1.509	0.35	0.088	0.325	0.334
1.913	0.601	1.107	2.091	0.978	124.476	1.51	0.35	0.088	0.325	0.334
1.914	0.602	1.108	2.093	0.979	124.541	1.511	0.35	0.088	0.325	0.334
1.915	0.602	1.109	2.094	0.979	124.606	1.512	0.35	0.088	0.325	0.334
1.916	0.602	1.11	2.095	0.98	124.671	1.513	0.351	0.088	0.326	0.334
1.917	0.603	1.111	2.097	0.981	124.736	1.513	0.351	0.088	0.326	0.334
1.918	0.603	1.112	2.098	0.981	124.801	1.514	0.351	0.088	0.326	0.335
1.919	0.603	1.112	2.099	0.982	124.866	1.515	0.351	0.088	0.326	0.335
1.92	0.603	1.113	2.101	0.983	124.931	1.516	0.351	0.088	0.326	0.335
1.921	0.604	1.114	2.102	0.983	124.996	1.517	0.351	0.088	0.327	0.335
1.922	0.604	1.115	2.103	0.984	125.061	1.517	0.351	0.088	0.327	0.335
1.923	0.604	1.116	2.104	0.985	125.126	1.518	0.351	0.088	0.327	0.335
1.924	0.604	1.117	2.106	0.985	125.191	1.519	0.351	0.088	0.327	0.336
1.925	0.605	1.118	2.107	0.986	125.256	1.52	0.351	0.088	0.328	0.336
1.926	0.605	1.119	2.108	0.987	125.321	1.521	0.352	0.088	0.328	0.336
1.927	0.605	1.12	2.11	0.988	125.386	1.521	0.352	0.088	0.328	0.336
1.928	0.605	1.121	2.111	0.988	125.451	1.522	0.352	0.089	0.328	0.336
1.929	0.606	1.121	2.113	0.989	125.516	1.523	0.352	0.089	0.328	0.337
1.93	0.606	1.122	2.114	0.99	125.581	1.524	0.352	0.089	0.329	0.337
1.931	0.606	1.123	2.115	0.99	125.646	1.525	0.352	0.089	0.329	0.337
1.932	0.6	1.124	2.117	0.991	125.711	1.526	0.352	0.089	0.329	0.337
1.933	0.6	1.125	2.118	0.992	125.776	1.526	0.352	0.089	0.329	0.337
1.934	0.601	1.126	2.119	0.992	125.841	1.527	0.352	0.089	0.33	0.337
1.935	0.601	1.127	2.121	0.993	125.906	1.528	0.353	0.089	0.33	0.327
1.936	0.601	1.128	2.122	0.994	125.971	1.529	0.353	0.089	0.33	0.327
1.937	0.601	1.129	2.123	0.994	126.036	1.53	0.353	0.089	0.33	0.327
1.938	0.602	1.129	2.125	0.995	126.101	1.53	0.353	0.089	0.331	0.328
1.939	0.602	1.13	2.126	0.996	126.166	1.531	0.353	0.089	0.331	0.328
1.94	0.602	1.131	2.127	0.996	126.231	1.532	0.353	0.089	0.331	0.328
1.941	0.602	1.132	2.129	0.997	126.296	1.533	0.353	0.089	0.331	0.328
1.942	0.603	1.133	2.13	0.998	126.362	1.534	0.353	0.089	0.331	0.328
1.943	0.603	1.134	2.131	0.998	126.427	1.535	0.353	0.089	0.332	0.328
1.944	0.603	1.135	2.133	0.999	126.492	1.535	0.353	0.09	0.332	0.328
1.945	0.603	1.136	2.134	1	126.557	1.536	0.354	0.09	0.332	0.328
1.946	0.604	1.137	2.135	1	126.622	1.537	0.354	0.09	0.332	0.329
1.947	0.604	1.138	2.137	1.001	126.687	1.538	0.354	0.09	0.333	0.329
1.948	0.604	1.139	2.138	1.002	126.752	1.539	0.354	0.09	0.333	0.329
1.949	0.604	1.139	2.139	1.002	126.817	1.539	0.354	0.09	0.333	0.329
1.95	0.605	1.14	2.141	1.003	126.882	1.54	0.354	0.09	0.333	0.329
1.951	0.605	1.141	2.142	1.004	126.938	1.541	0.354	0.09	0.334	0.329
1.952	0.605	1.142	2.143	1.004	127.003	1.542	0.354	0.09	0.334	0.33
1.953	0.605	1.143	2.145	1.005	127.068	1.543	0.354	0.09	0.334	0.33
1.954	0.606	1.144	2.146	1.006	127.133	1.543	0.355	0.09	0.334	0.33
1.955	0.606	1.145	2.147	1.007	127.199	1.544	0.355	0.09	0.334	0.33
1.956	0.606	1.146	2.149	1.007	127.264	1.545	0.355	0.09	0.335	0.33
1.957	0.606	1.147	2.15	1.008	127.329	1.546	0.355	0.09	0.335	0.33
1.958	0.607	1.148	2.152	1.009	127.394	1.547	0.355	0.09	0.335	0.331
1.959	0.607	1.149	2.153	1.009	127.459	1.548	0.355	0.09	0.335	0.331
1.96	0.607	1.149	2.154	1.01	127.524	1.548	0.355	0.091	0.336	0.331
1.961	0.607	1.15	2.156	1.011	127.589	1.549	0.355	0.091	0.336	0.331
1.962	0.608	1.151	2.157	1.011	127.654	1.55	0.355	0.091	0.336	0.331
1.963	0.608	1.152	2.158	1.012	127.719	1.551	0.356	0.091	0.336	0.332
1.964	0.608	1.153	2.16	1.013	127.784	1.552	0.356	0.091	0.337	0.332
1.965	0.608	1.154	2.161	1.013	127.849	1.552	0.356	0.091	0.337	0.317
1.966	0.609	1.155	2.162	1.014	127.914	1.553	0.356	0.091	0.337	0.317
1.967	0.609	1.156	2.164	1.015	127.979	1.554	0.356	0.091	0.337	0.318
1.968	0.609	1.157	2.165	1.015	128.044	1.555	0.356	0.091	0.338	0.318
1.969	0.609	1.158	2.167	1.016	128.109	1.556	0.356	0.091	0.338	0.318
1.97	0.61	1.159	2.168	1.017	128.174	1.557	0.356	0.091	0.338	0.318
1.971	0.61	1.16	2.169	1.018	128.239	1.557	0.356	0.091	0.338	0.318
1.972	0.61	1.16	2.171	1.018	128.304	1.558	0.357	0.091	0.338	0.318
1.973	0.61	1.161	2.172	1.019	128.369	1.559	0.357	0.091	0.339	0.319
1.974	0.611	1.162	2.173	1.02	128.434	1.56	0.357	0.091	0.339	0.319
1.975	0.611	1.163	2.175	1.02	128.499	1.561	0.357	0.091	0.339	0.319
1.976	0.611	1.164	2.176	1.021	128.564	1.561	0.357	0.092	0.339	0.319
1.977	0.611	1.165	2.178	1.022	128.629	1.562	0.357	0.092	0.34	0.319
1.978	0.612	1.166	2.179	1.022	128.694	1.563	0.357	0.092	0.34	0.319
1.979	0.612	1.167	2.18	1.023	128.759	1.564	0.357	0.092	0.34	0.32
1.98	0.612	1.168	2.182	1.024	128.824	1.565	0.357	0.092	0.34	0.32
1.981	0.612	1.169	2.183	1.024	128.889	1.566	0.358	0.092	0.341	0.32
1.982	0.613	1.17	2.184	1.025	128.954	1.566	0.358	0.092	0.341	0.32
1.983	0.613	1.171	2.186	1.026	129.019	1.567	0.358	0.092	0.341	0.32
1.984	0.613	1.171	2.187	1.027	129.084	1.568	0.358	0.092	0.341	0.32
1.985	0.613	1.172	2.189	1.027	129.149	1.569	0.358	0.092	0.342	0.32
1.986	0.614	1.173	2.19	1.028	129.214	1.57	0.358	0.092	0.342	0.321
1.987	0.614	1.174	2.191	1.029	129.279	1.57	0.358	0.092	0.342	0.321
1.988	0.614	1.175	2.193	1.029	129.344	1.571	0.358	0.092	0.342	0.321
1.989	0.614	1.176	2.194	1.03	129.409	1.572	0.359	0.092	0.342	0.321
1.99	0.615	1.177	2.195	1.031	129.474	1.573	0.359	0.092	0.343	0.321
1.991	0.615	1.178	2.197	1.031	129.539	1.574	0.359	0.092	0.343	0.321
1.992	0.615	1.179	2.198	1.032	129.604	1.575	0.359	0.093	0.343	0.322
1.993	0.615	1.18	2.2	1.033	129.669	1.575	0.359	0.093	0.343	0.322
1.994	0.616	1.181	2.201	1.034	129.734	1.576	0.359	0.093	0.344	0.322
1.995	0.616	1.182	2.202	1.034	129.799	1.577	0.359	0.093	0.344	0.322
1.996	0.616	1.183	2.204	1.035	129.864	1.578	0.359	0.093	0.344	0.322
1.997	0.616	1.184	2.205	1.036	129.929	1.579	0.359	0.093	0.344	0.322
1.998	0.617	1.184	2.206	1.036	129.994	1.579	0.36	0.093	0.345	0.323
1.999	0.617	1.185	2.208	1.037	130.059	1.58	0.36	0.093	0.345	0.323
2	0.617	1.186	2.209	1.038	130.124	1.581	0.36	0.093	0.345	0.323
2.001	0.617	1.187	2.211	1.038	130.189	1.582	0.36	0.093	0.345	0.323
2.002	0.618	1.188	2.212	1.039	130.254	1.542	0.36	0.093	0.346	0.323
2.003	0.618	1.189	2.213	1.04	130.319	1.543	0.36	0.093	0.346	0.323
2.004	0.618	1.19	2.215	1.041	130.384	1.543	0.36	0.093	0.346	0.324
2.005	0.618	1.191	2.216	1.041	130.449	1.544	0.36	0.093	0.346	0.324
2.006	0.619	1.192	2.218	1.042	130.514	1.545	0.361	0.093	0.347	0.324
2.007	0.619	1.193	2.219	1.043	130.579	1.546	0.361	0.093	0.347	0.324
2.008	0.619	1.194	2.22	1.043	130.644	1.547	0.361	0.094	0.347	0.324
2.009	0.62	1.195	2.222	1.044	130.709	1.547	0.361	0.094	0.347	0.324
2.01	0.62	1.196	2.223	1.045	130.774	1.548	0.361	0.094	0.347	0.325
2.011	0.62	1.197	2.225	1.046	130.839	1.549	0.361	0.094	0.348	0.325
2.012	0.62	1.198	2.226	1.046	130.904	1.55	0.361	0.094	0.348	0.325
2.013	0.621	1.199	2.227	1.047	130.969	1.55	0.361	0.094	0.348	0.325
2.014	0.621	1.199	2.229	1.048	131.034	1.551	0.361	0.094	0.348	0.325
2.015	0.621	1.2	2.23	1.048	131.099	1.552	0.362	0.094	0.349	0.325
2.016	0.621	1.201	2.232	1.049	131.164	1.553	0.362	0.094	0.349	0.326
2.017	0.622	1.202	2.233	1.05	131.229	1.554	0.362	0.094	0.349	0.326
2.018	0.622	1.203	2.234	1.05	131.294	1.554	0.362	0.094	0.349	0.326
2.019	0.622	1.204	2.236	1.051	131.359	1.555	0.362	0.094	0.35	0.326
2.02	0.622	1.205	2.237	1.052	131.424	1.556	0.362	0.094	0.35	0.326
2.021	0.623	1.206	2.239	1.053	131.489	1.557	0.346	0.094	0.35	0.326
2.022	0.623	1.207	2.24	1.053	131.554	1.558	0.346	0.094	0.35	0.32
2.023	0.623	1.208	2.241	1.054	131.619	1.558	0.346	0.095	0.351	0.32
2.024	0.623	1.209	2.243	1.055	131.684	1.559	0.346	0.095	0.351	0.32
2.025	0.624	1.21	2.244	1.055	131.749	1.56	0.346	0.091	0.351	0.32
2.026	0.624	1.211	2.246	1.056	131.814	1.561	0.346	0.091	0.351	0.321
2.027	0.624	1.073	2.247	1.057	131.879	1.561	0.346	0.091	0.352	0.321
2.028	0.624	1.073	2.248	1.058	131.944	1.562	0.346	0.091	0.352	0.321
2.029	0.625	1.074	2.25	1.058	132.009	1.563	0.347	0.091	0.352	0.321
2.03	0.625	1.075	2.251	1.059	132.074	1.564	0.347	0.091	0.352	0.321
2.031	0.625	1.076	2.253	1.06	132.139	1.565	0.347	0.091	0.353	0.321
2.032	0.625	1.077	2.254	1.06	132.204	1.565	0.347	0.091	0.353	0.322
2.033	0.626	1.077	2.126	1.061	132.269	1.566	0.347	0.091	0.353	0.322
2.034	0.626	1.078	2.127	1.062	132.334	1.567	0.347	0.091	0.353	0.322
2.035	0.626	1.079	2.129	1.063	132.399	1.568	0.347	0.091	0.354	0.322
2.036	0.626	1.08	2.13	1.063	132.464	1.568	0.347	0.092	0.354	0.322
2.037	0.627	1.081	2.131	1.064	132.529	1.569	0.347	0.092	0.354	0.322
2.038	0.627	1.082	2.132	1.065	132.594	1.57	0.348	0.092	0.354	0.322
2.039	0.627	1.082	2.134	1.065	132.659	1.571	0.348	0.092	0.355	0.323
2.04	0.627	1.083	2.135	1.066	132.724	1.572	0.348	0.092	0.355	0.323
2.041	0.628	1.084	2.136	1.067	132.789	1.572	0.348	0.092	0.355	0.323
2.042	0.628	1.085	2.138	1.068	132.854	1.573	0.348	0.092	0.355	0.323
2.043	0.628	1.086	2.139	1.068	132.919	1.574	0.348	0.092	0.356	0.323
2.044	0.628	1.086	2.14	1.069	132.975	1.575	0.348	0.092	0.356	0.323
2.045	0.629	1.087	2.141	1.07	133.04	1.575	0.348	0.092	0.356	0.324
2.046	0.629	1.088	2.143	1.07	133.105	1.576	0.348	0.092	0.356	0.324
2.047	0.629	1.089	2.144	1.071	133.17	1.577	0.349	0.092	0.357	0.324
2.048	0.629	1.09	2.145	1.072	133.235	1.578	0.349	0.092	0.357	0.324
2.049	0.63	1.091	2.147	1.073	133.3	1.579	0.349	0.092	0.357	0.324
2.05	0.63	1.091	2.148	1.073	133.365	1.579	0.349	0.092	0.357	0.324
2.051	0.63	1.092	2.149	1.074	133.43	1.58	0.349	0.092	0.358	0.325
2.052	0.63	1.093	2.151	1.075	133.495	1.581	0.349	0.093	0.358	0.325
2.053	0.631	1.094	2.152	1.076	133.56	1.582	0.349	0.093	0.358	0.325
2.054	0.631	1.095	2.153	1.076	133.625	1.583	0.349	0.093	0.358	0.325
2.055	0.631	1.095	2.154	1.077	133.69	1.583	0.349	0.093	0.358	0.325
2.056	0.632	1.096	2.156	1.078	133.755	1.584	0.35	0.093	0.359	0.325
2.057	0.632	1.097	2.157	1.078	133.82	1.585	0.35	0.093	0.359	0.326
2.058	0.632	1.098	2.158	1.079	133.885	1.586	0.35	0.093	0.359	0.326
2.059	0.632	1.099	2.16	1.08	133.95	1.586	0.35	0.093	0.359	0.325
2.06	0.633	1.1	2.161	1.081	134.015	1.587	0.35	0.093	0.36	0.325
2.061	0.633	1.1	2.162	1.081	134.08	1.588	0.35	0.093	0.36	0.325
2.062	0.633	1.101	2.164	1.082	134.145	1.589	0.35	0.093	0.36	0.325
2.063	0.633	1.102	2.165	1.083	134.21	1.59	0.35	0.093	0.36	0.325
2.064	0.634	1.103	2.166	1.083	134.275	1.59	0.35	0.093	0.361	0.326
2.065	0.634	1.104	2.167	1.084	134.34	1.591	0.351	0.093	0.361	0.326
2.066	0.634	1.105	2.169	1.085	134.405	1.592	0.351	0.093	0.361	0.326
2.067	0.634	1.105	2.17	1.086	134.47	1.593	0.351	0.093	0.361	0.326
2.068	0.635	1.106	2.171	1.086	134.535	1.594	0.351	0.094	0.362	0.326
2.069	0.635	1.107	2.173	1.087	134.6	1.594	0.351	0.094	0.362	0.326
2.07	0.635	1.108	2.174	1.088	134.665	1.595	0.351	0.094	0.362	0.327
2.071	0.635	1.109	2.175	1.089	134.73	1.596	0.351	0.094	0.362	0.327
2.072	0.636	1.11	2.177	1.089	134.795	1.597	0.351	0.094	0.363	0.327
2.073	0.636	1.11	2.178	1.09	134.86	1.597	0.351	0.094	0.363	0.327
2.074	0.636	1.111	2.179	1.091	134.925	1.598	0.352	0.094	0.363	0.327
2.075	0.636	1.112	2.181	1.091	134.99	1.599	0.352	0.094	0.363	0.327
2.076	0.637	1.113	2.182	1.092	135.055	1.6	0.352	0.094	0.364	0.328
2.077	0.637	1.114	2.183	1.093	135.12	1.601	0.352	0.094	0.364	0.328
2.078	0.637	1.114	2.185	1.094	135.185	1.601	0.352	0.094	0.364	0.328
2.079	0.637	1.115	2.186	1.094	135.25	1.602	0.352	0.094	0.364	0.328
2.08	0.638	1.116	2.187	1.095	135.315	1.603	0.352	0.094	0.365	0.328
2.081	0.638	1.117	2.188	1.096	135.38	1.604	0.352	0.094	0.365	0.329
2.082	0.638	1.118	2.19	1.097	135.445	1.605	0.353	0.094	0.365	0.329
2.083	0.638	1.119	2.191	1.097	135.51	1.605	0.353	0.095	0.365	0.329
2.084	0.639	1.12	2.192	1.098	135.575	1.606	0.353	0.095	0.366	0.329
2.085	0.639	1.12	2.194	1.036	135.64	1.607	0.353	0.095	0.366	0.329
2.086	0.639	1.121	2.195	1.036	135.705	1.608	0.353	0.095	0.366	0.329
2.087	0.639	1.122	2.196	1.037	135.77	1.608	0.353	0.095	0.367	0.33
2.088	0.64	1.123	2.198	1.038	135.835	1.609	0.353	0.095	0.367	0.33
2.089	0.64	1.124	2.199	1.038	135.9	1.61	0.353	0.095	0.338	0.33
2.09	0.64	1.125	2.2	1.039	135.965	1.611	0.353	0.095	0.338	0.33
2.091	0.641	1.125	2.202	1.04	136.03	1.612	0.354	0.095	0.338	0.33
2.092	0.641	1.126	2.203	1.04	136.095	1.612	0.354	0.095	0.338	0.33
2.093	0.641	1.127	2.204	1.041	136.16	1.613	0.354	0.095	0.339	0.331
2.094	0.641	1.128	2.206	1.042	136.225	1.614	0.354	0.095	0.339	0.331
