wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.072	0.251	0.961	1.659	0.675	4.967	0.333	0.363	0.085	0.267	0.307
0.073	0.251	0.961	1.659	0.675	5.032	0.334	0.363	0.085	0.267	0.308
0.074	0.251	0.961	1.659	0.675	5.097	0.335	0.363	0.085	0.267	0.308
0.075	0.251	0.962	1.659	0.675	5.162	0.335	0.363	0.085	0.267	0.308
0.076	0.251	0.962	1.66	0.675	5.227	0.336	0.363	0.085	0.267	0.308
0.077	0.252	0.962	1.66	0.676	5.292	0.337	0.363	0.085	0.267	0.308
0.078	0.252	0.962	1.66	0.676	5.357	0.337	0.363	0.085	0.267	0.308
0.079	0.252	0.962	1.66	0.676	5.422	0.338	0.363	0.085	0.267	0.308
0.08	0.252	0.962	1.661	0.676	5.487	0.338	0.363	0.085	0.267	0.308
0.081	0.252	0.962	1.661	0.676	5.552	0.339	0.363	0.085	0.267	0.308
0.082	0.253	0.962	1.661	0.677	5.617	0.34	0.363	0.085	0.267	0.308
0.083	0.253	0.963	1.661	0.677	5.681	0.34	0.363	0.085	0.268	0.308
0.084	0.253	0.963	1.661	0.677	5.746	0.341	0.363	0.085	0.268	0.308
0.085	0.253	0.963	1.662	0.677	5.811	0.342	0.363	0.085	0.268	0.308
0.086	0.253	0.963	1.662	0.677	5.876	0.342	0.363	0.085	0.268	0.308
0.087	0.254	0.963	1.662	0.677	5.941	0.343	0.363	0.085	0.268	0.308
0.088	0.254	0.963	1.662	0.678	6.006	0.344	0.363	0.085	0.268	0.308
0.089	0.254	0.963	1.663	0.678	6.071	0.344	0.363	0.085	0.268	0.308
0.09	0.254	0.963	1.663	0.678	6.136	0.345	0.363	0.085	0.268	0.308
0.091	0.254	0.963	1.663	0.678	6.201	0.346	0.363	0.085	0.268	0.308
0.092	0.255	0.964	1.663	0.678	6.266	0.346	0.363	0.085	0.268	0.308
0.093	0.255	0.964	1.663	0.678	6.331	0.347	0.363	0.085	0.268	0.308
0.094	0.255	0.964	1.664	0.679	6.396	0.347	0.363	0.085	0.268	0.308
0.095	0.255	0.964	1.664	0.679	6.461	0.348	0.363	0.085	0.268	0.308
0.096	0.255	0.964	1.664	0.679	6.525	0.349	0.363	0.085	0.268	0.308
0.097	0.255	0.964	1.664	0.679	6.59	0.349	0.363	0.085	0.268	0.308
0.098	0.256	0.964	1.664	0.679	6.655	0.35	0.363	0.085	0.268	0.308
0.099	0.256	0.964	1.665	0.68	6.72	0.351	0.363	0.085	0.268	0.308
0.1	0.256	0.965	1.665	0.68	6.785	0.351	0.363	0.085	0.268	0.308
0.101	0.256	0.965	1.665	0.68	6.85	0.352	0.363	0.085	0.268	0.308
0.102	0.256	0.965	1.665	0.68	6.915	0.353	0.363	0.085	0.268	0.308
0.103	0.257	0.965	1.666	0.68	6.98	0.353	0.363	0.085	0.268	0.308
0.104	0.257	0.965	1.666	0.68	7.045	0.354	0.363	0.085	0.268	0.308
0.105	0.257	0.965	1.666	0.681	7.11	0.354	0.363	0.085	0.268	0.308
0.106	0.257	0.965	1.666	0.681	7.175	0.355	0.363	0.085	0.268	0.308
0.107	0.257	0.965	1.666	0.681	7.24	0.356	0.363	0.085	0.268	0.308
0.108	0.258	0.965	1.667	0.681	7.305	0.356	0.363	0.085	0.269	0.308
0.109	0.258	0.966	1.667	0.681	7.369	0.357	0.363	0.085	0.269	0.308
0.11	0.258	0.966	1.667	0.681	7.434	0.358	0.363	0.085	0.269	0.308
0.111	0.258	0.966	1.667	0.682	7.499	0.358	0.363	0.085	0.269	0.308
0.112	0.258	0.966	1.668	0.682	7.564	0.359	0.363	0.085	0.269	0.308
0.113	0.259	0.966	1.668	0.682	7.629	0.36	0.363	0.085	0.269	0.308
0.114	0.259	0.966	1.668	0.682	7.694	0.36	0.363	0.085	0.269	0.308
0.115	0.259	0.966	1.668	0.682	7.759	0.361	0.363	0.085	0.269	0.308
0.116	0.259	0.966	1.668	0.682	7.824	0.361	0.363	0.085	0.269	0.308
0.117	0.259	0.966	1.669	0.683	7.889	0.362	0.363	0.085	0.269	0.309
0.118	0.26	0.967	1.669	0.683	7.954	0.363	0.363	0.085	0.269	0.309
0.119	0.26	0.967	1.669	0.683	8.019	0.363	0.363	0.085	0.269	0.309
0.12	0.26	0.967	1.669	0.683	8.084	0.364	0.363	0.085	0.269	0.309
0.121	0.26	0.967	1.669	0.683	8.148	0.365	0.363	0.085	0.269	0.309
0.122	0.26	0.967	1.67	0.684	8.213	0.365	0.363	0.085	0.269	0.309
0.123	0.26	0.967	1.67	0.684	8.278	0.366	0.363	0.085	0.269	0.309
0.124	0.261	0.967	1.67	0.684	8.343	0.367	0.363	0.085	0.269	0.309
0.125	0.261	0.967	1.67	0.684	8.408	0.367	0.363	0.085	0.269	0.309
0.126	0.261	0.968	1.671	0.684	8.473	0.368	0.363	0.085	0.269	0.309
0.127	0.261	0.968	1.671	0.684	8.538	0.369	0.363	0.085	0.269	0.309
0.128	0.261	0.968	1.671	0.685	8.603	0.369	0.363	0.085	0.269	0.309
0.129	0.262	0.968	1.671	0.685	8.668	0.37	0.363	0.085	0.269	0.309
0.13	0.262	0.968	1.671	0.685	8.733	0.37	0.363	0.085	0.269	0.309
0.131	0.262	0.968	1.672	0.685	8.798	0.371	0.363	0.085	0.269	0.309
0.132	0.262	0.968	1.672	0.685	8.863	0.372	0.363	0.085	0.269	0.309
0.133	0.262	0.968	1.672	0.685	8.928	0.372	0.363	0.085	0.269	0.309
0.134	0.263	0.968	1.672	0.686	8.992	0.373	0.363	0.085	0.27	0.309
0.135	0.263	0.969	1.672	0.686	9.057	0.374	0.363	0.085	0.27	0.309
0.136	0.263	0.969	1.673	0.686	9.122	0.374	0.363	0.085	0.27	0.309
0.137	0.263	0.969	1.673	0.686	9.187	0.375	0.363	0.085	0.27	0.309
0.138	0.263	0.969	1.673	0.686	9.252	0.376	0.363	0.085	0.27	0.309
0.139	0.264	0.969	1.673	0.687	9.317	0.376	0.363	0.085	0.27	0.309
0.14	0.264	0.969	1.673	0.687	9.382	0.377	0.363	0.085	0.27	0.309
0.141	0.264	0.969	1.674	0.687	9.447	0.377	0.363	0.085	0.27	0.309
