48.00, 4.166690, 4.293352, 5.603280, 5.871400, 6.358185, 13.718615, 0.213851, 12.443090, 10.941282
49.00, 19.501470, 4.068324, 5.309966, 5.564015, 6.025550, 12.994407, 0.210817, 11.804103, 10.375589
50.00, 18.500000, 3.859000, 5.038000, 5.279000, 5.717000, 12.320000, 0.207976, 11.210000, 9.850000
51.00, 17.576795, 17.925808, 4.785609, 5.014460, 5.430438, 11.690980, 0.205313, 10.656567, 9.360681
52.00, 16.715974, 17.043581, 4.551041, 4.768559, 5.163915, 11.103785, 0.202817, 10.140142, 8.904304
53.00, 15.912775, 16.220360, 4.332558, 4.539514, 4.915596, 10.555226, 0.200475, 9.657751, 8.478213
54.00, 15.162606, 15.451193, 4.128649, 4.325757, 4.683844, 10.042373, 0.198273, 9.206689, 8.079994
55.00, 14.461108, 14.731626, 3.937987, 4.125910, 4.467195, 9.562539, 0.196200, 8.784501, 7.707456
56.00, 13.804182, 14.057645, 3.759409, 3.938750, 4.264337, 9.113255, 0.194246, 8.388951, 7.358604
57.00, 13.188008, 13.425622, 3.591884, 3.763194, 4.074093, 8.692257, 0.192401, 8.018003, 7.031618
58.00, 12.609048, 12.832278, 3.434502, 3.598277, 3.895408, 8.297463, 0.190656, 7.669801, 6.724843
59.00, 12.064041, 12.274637, 3.286449, 3.443136, 3.727329, 7.926963, 0.189004, 7.342650, 6.436764
60.00, 11.550000, 11.750000, 3.147000, 3.297000, 3.569000, 7.579000, 0.187437, 7.035000, 6.166000
61.00, 11.064903, 11.257030, 3.016652, 3.160703, 3.421798, 7.251650, 0.185946, 6.745186, 5.911039
62.00, 10.607223, 10.792252, 13.276467, 3.032122, 3.282916, 6.943153, 0.184523, 6.471706, 5.670522
63.00, 10.175041, 10.353679, 12.743123, 2.910705, 3.151759, 6.652194, 0.183162, 6.213432, 5.443448
64.00, 9.766594, 9.939478, 12.239106, 12.694036, 3.027785, 6.377561, 0.181859, 5.969329, 5.228898
65.00, 9.380264, 9.547962, 11.762380, 12.199021, 2.910498, 6.118143, 0.180609, 5.738442, 5.026024
66.00, 9.014566, 9.177571, 11.311083, 11.730432, 2.799443, 5.872914, 0.179410, 5.519892, 4.834047
67.00, 8.668129, 8.826869, 10.883502, 11.286488, 2.694201, 5.640929, 0.178256, 5.312868, 4.652249
68.00, 8.339695, 8.494528, 10.478065, 10.865555, 11.540414, 5.421317, 0.177146, 5.116622, 4.479965
69.00, 8.028101, 8.179325, 10.093324, 10.466126, 11.113710, 5.213274, 0.176075, 4.930464, 4.316584
70.00, 7.732272, 7.880129, 9.727945, 10.086815, 10.708586, 5.016054, 0.175041, 4.753753, 4.161538
71.00, 7.451218, 7.595894, 9.380698, 9.726343, 10.323667, 4.828971, 0.174041, 4.585897, 4.014303
72.00, 7.184018, 7.325654, 9.050446, 9.383527, 9.957681, 4.651386, 0.173073, 4.426349, 3.874393
73.00, 6.929824, 7.068515, 8.736139, 9.057277, 9.609452, 4.482710, 0.172135, 4.274600, 3.741359
74.00, 6.687848, 6.823651, 8.436803, 8.746580, 9.277894, 4.322395, 0.171225, 4.130178, 3.614782
